Activity Name,Quests (Goals),Concerns,Related Behaviors,Tag,Instruction/Content,Activity Image,Media,Created By,Name,Status
validate their feelings when they share with me,,Parenting Stress,,,"Steps:
Step 1: Take a deep breath and find a quiet space where you feel comfortable to share your feelings. This could be in your room, a quiet corner of your house, or even outside in nature.

Step 2: Reflect on your feelings and try to identify what emotions you are experiencing. Are you feeling happy, sad, angry, or something else? It can be helpful to close your eyes and really focus on how your body feels when you experience each emotion.

Step 3: Once you have identified your feelings, find a trusted adult or friend to share them with. It's important to choose someone who will listen to you without judgment and provide support. This person could be a parent, teacher, counselor, or even a close friend.

Step 4: Use ""I"" statements to express your feelings. Instead of saying, ""You always make me angry,"" try saying, ""I feel angry when this happens."" By using ""I"" statements, you are taking responsibility for your own emotions and expressing them in a non-blaming way.

Step 5: After sharing your feelings, take a moment to validate yourself. Acknowledge that your feelings are valid and important. Remind yourself that it's okay to feel the way you do, and it's healthy to express your emotions.

Example:
Emma had been feeling really sad lately, but she didn't know how to talk about it. She decided to find a quiet spot in her room where she could be alone and reflect on her feelings. As she closed her eyes and took a deep breath, she realized that she was not only sad but also a little bit angry.

With her emotions identified, Emma knew it was time to share with someone she trusted. She thought about her mom, who was always there to listen and support her. Emma went up to her mom and said, ""Mom, I've been feeling sad and a little angry lately. It's hard for me to explain, but I wanted to share it with you.""

Her mom listened attentively, and Emma felt relieved to have someone to talk to. She used ""I"" statements to express her feelings, saying things like, ""I feel sad when I think about my friend moving away,"" and ""I get angry when I can't figure out my math homework."" Her mom nodded and told her that it was perfectly normal to have those emotions.

After sharing her feelings, Emma took a moment to validate herself. She reminded herself that it's okay to feel sad or angry sometimes, and that her feelings were valid. She felt a sense of relief and comfort knowing that she had acknowledged her emotions and shared them with someone who cared.",,,Caitlyn Wang,,Reviewing
video chat with a family member or friend,,"Bad Friends,Good Families,Estranged families",,,"Steps:
Step 1: Set up the video chat platform
- Open the video chat app or website on your device.
- Sign in or create an account if needed.
- Make sure your device has a working camera and microphone.

Step 2: Choose a family member or friend to video chat with
- Think about who you would like to connect with.
- Ask your parent or guardian for permission and help if needed.
- Get their contact information (username, email, or phone number).

Step 3: Initiate the video chat
- Open the video chat app or website.
- Find the option to start a new video call.
- Enter the contact information of the person you want to chat with.

Step 4: Prepare for the video chat
- Find a quiet and comfortable space for the call.
- Make sure you have good lighting so the other person can see you clearly.
- Adjust your device so that you are visible on the screen.

Step 5: Start the video chat and enjoy the conversation
- Once the call connects, greet the other person with a friendly hello.
- Listen attentively and respond to what the other person is saying.
- Enjoy the conversation and feel free to share your thoughts and experiences.

Example:
Sarah was excited to video chat with her cousin Alex, who lived in a different state. She opened the video chat app on her tablet and signed in using her username and password. After checking that her tablet's camera and microphone were working, she thought about who she wanted to chat with and decided to call Alex. Sarah asked her mom for permission and help, and her mom gave her Alex's email address.

Sarah entered Alex's email address into the video chat app and clicked on the option to start a new video call. She found a quiet spot in her room and adjusted her tablet so that it was at a good angle. Sarah made sure there was enough light in the room so that Alex could see her clearly.

Finally, Sarah clicked on the call button and waited for Alex to pick up. As soon as the call connected, Sarah greeted Alex with a big smile and said, ""Hi Alex, it's so great to see you!"" They started talking about their day and shared stories about what they had been up to. Sarah felt happy and connected as they chatted, and she was grateful for the opportunity to video chat with her cousin.",,,Caitlyn Wang,,Reviewing
"visit a rage or escape room, a museum, or a restaurant",Strengthen my marriage,,,,"Steps:
Step 1: Choose a location - Rage Room, Escape Room, Museum, or Restaurant
Step 2: Gather necessary information
Step 3: Plan and prepare for the visit
Step 4: Follow the instructions and enjoy the experience
Step 5: Reflect and share your experience

Example:
Once upon a time, there was a sixth-grade student named Emily who was excited to try something new and adventurous during her school break. She decided to visit an escape room called ""Mystery Mansion."" Here's how Emily successfully carried out her visit:

Step 1: Choose a location - Rage Room, Escape Room, Museum, or Restaurant
Emily heard about different activities she could try, and after careful consideration, she chose to visit an escape room. She was intrigued by the idea of solving puzzles and unraveling mysteries.

Step 2: Gather necessary information
Emily researched various escape rooms in her area and finally settled on ""Mystery Mansion."" She read reviews, checked the difficulty level, and made sure it was suitable for her age group.

Step 3: Plan and prepare for the visit
Emily called the escape room to make a reservation for herself and her friends. She also asked about any specific rules or requirements, such as wearing comfortable clothes and arriving on time. Emily gathered her friends' contact information and planned a meeting place before heading to the escape room.

Step 4: Follow the instructions and enjoy the experience
On the day of the visit, Emily and her friends arrived at the escape room excitedly. They were greeted by a friendly staff member who explained the rules and gave them a brief background story. Emily and her friends listened attentively and asked questions to clarify any doubts.

As they entered the escape room, Emily observed her surroundings carefully, looking for any clues or hidden objects. She encouraged her friends to collaborate and communicate effectively. Together, they analyzed the puzzles, solved riddles, and unlocked secret compartments. Emily felt a rush of adrenaline as they progressed through the challenges, and she enjoyed the feeling of accomplishment whenever they solved a puzzle.

Step 5: Reflect and share your experience
After successfully escaping from the room within the given time, Emily and her friends gathered in the waiting area. They discussed their favorite parts of the experience, reflecting on how they worked together as a team and overcame obstacles. Emily shared her excitement with her family and friends, recommending the escape room to others who were looking for a thrilling and mind-engaging activity.

In conclusion, Emily's visit to the escape room was a memorable and enjoyable experience. By following the steps of choosing a location, gathering necessary information, planning and preparing, following instructions, and reflecting on the experience, she had a fantastic time and created lasting memories with her friends.",,,Caitlin Ryan Marcus,,Reviewing
visit an elderly folks' home,,Bored,"No associated behavior,Doom scrolling,Gaming,Time on social media",,"Steps:
Step 1: Get permission and make arrangements
- Talk to your parents or guardians and ask for their permission to visit an elderly folks' home.
- Find a local elderly folks' home and contact them to ask if they allow visitors, and if so, what their visiting hours are.
- Discuss with your parents or guardians the best day and time to visit.

Step 2: Prepare for the visit
- Pick out a thoughtful gift or small token to bring with you. This could be a handmade card, a bouquet of flowers, or a puzzle book.
- Think about some questions or topics you can talk about with the elderly residents. This could include asking about their hobbies, favorite memories, or advice they have for young people.

Step 3: Arrive at the elderly folks' home
- Dress appropriately and comfortably for the visit.
- Make sure you have the gift or token you prepared earlier.
- Greet the staff at the elderly folks' home politely and let them know you are there to visit.

Step 4: Engage with the elderly residents
- Approach an elderly resident and introduce yourself with a friendly smile.
- Offer the gift or token you brought as a gesture of kindness.
- Start a conversation by asking open-ended questions and actively listening to their responses. Show genuine interest and empathy.

Step 5: Reflect on the visit
- After spending some time talking and interacting with the elderly residents, take a moment to reflect on your experience.
- Think about how it felt to connect with someone from a different generation and the impact your visit may have had on them.
- Consider any lessons or insights you gained from the visit and discuss them with your parents or guardians.

Example:
Emily was excited about her upcoming visit to the elderly folks' home. She had received permission from her parents and had made all the necessary arrangements. On the day of the visit, she dressed in a comfortable yet presentable outfit and packed the handmade card she had created the night before.

When Emily arrived at the elderly folks' home, she was greeted by a friendly staff member who showed her where she could find the residents' common area. She took a deep breath and walked over to a group of elderly residents who were engaged in conversation.

Approaching one of the residents, Emily introduced herself with a warm smile and offered the handmade card as a small gift. The resident's face lit up with joy as she accepted the card, thanking Emily for her thoughtfulness. Emily started a conversation by asking the resident about her favorite hobbies and listened intently as she shared stories about her love for gardening.

As Emily moved from one resident to another, she found herself engrossed in conversations about different topics. Some residents spoke about their past adventures, while others shared valuable life advice. Emily was amazed at how much she could learn from people who had experienced so much in their lives.

After spending a couple of hours at the elderly folks' home, Emily felt a sense of fulfillment. She realized how meaningful and rewarding it was to connect with individuals from a different generation. As she left, she couldn't help but feel grateful for the opportunity to brighten someone's day and make a positive impact in their lives.

When Emily returned home, she shared her experiences with her parents, discussing the wisdom she had gained from the residents and the joy she felt in making a difference. They were proud of her for taking the initiative to visit the elderly folks' home and encouraged her to continue engaging with her community in meaningful ways.",,,Caitlyn Wang,,Reviewing
Volunteer for a household chore that helps the whole family,,Executive Functioning Skills,,,"Steps:
Step 1: Choose a household chore that you can do to help the whole family. It could be something like washing the dishes, folding laundry, or sweeping the floor.

Step 2: Talk to your family members and let them know that you would like to volunteer for a household chore. Explain why you want to help and how it will benefit everyone.

Step 3: Set a specific time and day to do the chore. This will help you stay organized and make sure you follow through with your commitment. You can use a calendar or a reminder on your phone to keep track of the schedule.

Step 4: Gather all the necessary supplies or equipment needed for the chore. For example, if you are washing the dishes, you will need dish soap, a sponge, and a drying rack. Having everything ready beforehand will make the task easier and more efficient.

Step 5: Start doing the chore and give it your best effort. Take your time and pay attention to details. Make sure to follow any instructions or guidelines given by your family members. Once you have completed the chore, clean up any mess and put away the supplies.

Example:
Emily, a sixth-grader, wanted to volunteer for a household chore that would help her whole family. She thought about it and decided that she could help with folding the laundry. She approached her parents and siblings and explained that she wanted to contribute more to the family and thought folding laundry would be a great way to do that.

After discussing with her family, they agreed that Emily could fold the laundry every Saturday morning. Emily marked the day and time on her calendar so she wouldn't forget. She gathered all the laundry baskets and went to the laundry room to get started.

Emily carefully sorted the clothes, separating them into piles of shirts, pants, and socks. She grabbed the neatly folded stack of clean clothes and began folding each item with precision. She took her time to make sure everything was folded neatly and organized. As she finished folding each pile, she placed them in their respective drawers.

Once all the laundry was folded, Emily cleaned up the laundry room, putting away the laundry baskets and making sure everything was tidy. She felt proud of her accomplishment and happy to have contributed to her family's well-being. Her family also appreciated her effort and thanked her for taking on the chore.

By volunteering for a household chore, Emily not only helped her family but also developed a sense of responsibility and accomplishment. She realized that even small tasks can make a big difference in the overall harmony and functioning of the household.",,,Caitlyn Wang,,Reviewing
Wait 3 days to make any buying decisions above the amount I set.,,Build wealth,,,"Steps:
Step 1: Set a specific amount: Determine the maximum amount of money you are allowed to spend without asking for permission. This could be a weekly or monthly limit, depending on your financial situation.

Step 2: Wait 3 days: Whenever you come across something you want to buy that exceeds the amount you set in Step 1, resist the temptation to make an immediate purchase. Instead, wait for a minimum of 3 days before making any buying decisions.

Step 3: Reflect on the purchase: During the 3-day waiting period, take some time to think about whether you really need or want the item. Consider the reasons behind your desire to buy it and whether it aligns with your values and priorities.

Step 4: Seek advice if needed: If you're still unsure about whether to make the purchase after the waiting period, reach out to a trusted adult or family member for their opinion. Explain the situation and ask for their advice on whether it is a wise decision to spend the money.

Step 5: Make a conscious choice: After waiting 3 days and reflecting on the purchase, make a conscious decision about whether to buy the item. If you decide to go ahead with the purchase, ensure it fits within the budget you set in Step 1. If you decide against it, congratulate yourself on making a thoughtful choice and consider saving the money for something else.

Example:
Sarah had saved up some money from her allowance and was excited about buying a new video game. She knew her limit was $50, as agreed upon with her parents. One day, while browsing online, she came across a brand-new game that cost $70. Sarah's initial reaction was to click the ""buy now"" button, but then she remembered the rule she had set for herself.

She decided to follow the steps she had learned from her life coach. Sarah took a deep breath and reminded herself to wait for 3 days before making any decisions. Over the next few days, she thought about why she wanted the game. She realized that she had several other games she hadn't finished yet and that buying a new one might not be the best use of her money at the moment.

Still feeling a bit unsure, Sarah decided to talk to her older brother about it. He listened to her dilemma and offered his perspective. He mentioned that waiting a little longer might be a good idea and that she could always buy the game later if she still wanted it.

After the 3-day waiting period, Sarah felt more confident in her decision. She realized that she could save the money for something more important or even buy the game when it went on sale. In the end, Sarah chose not to make the purchase, feeling proud of herself for making a thoughtful choice and saving her money for future opportunities.",,,Caitlyn Wang,,Reviewing
Wait to be called on,,"Self-Regulation and Coping,Executive Functioning Skills",Disrupting class (calling out),,"Steps:
Step 1: Find a comfortable and quiet place to sit and observe.
Step 2: Pay attention to the person who is in charge, such as a teacher or group leader.
Step 3: Listen carefully to what the person in charge is saying or asking.
Step 4: Wait patiently for your turn to speak or participate. Avoid interrupting or talking out of turn.
Step 5: When the person in charge calls on you or invites you to contribute, confidently share your thoughts or answer their question.

Example:
Meet Lily, a sixth-grader who wants to practice ""Wait to be called on"" during her English class. As the teacher starts the discussion about the novel they are reading, Lily finds a comfortable spot at her desk and focuses her attention on the front of the classroom.

The teacher begins asking questions, and Lily listens attentively, knowing that she needs to wait for her turn. She hears her classmates sharing their thoughts and ideas, but she patiently waits for the teacher to call on her.

After a few minutes, the teacher notices Lily's raised hand and calls on her. Lily takes a deep breath, feeling a little nervous but confident in her knowledge of the book. She shares her insightful analysis of the main character, using evidence from the text to support her ideas.

The teacher and her classmates listen intently, impressed by Lily's contribution. Lily feels proud of herself for waiting patiently and speaking up at the right moment. She realizes that by waiting to be called on, she not only respects the teacher's authority but also gives herself the opportunity to be heard and valued in the classroom.

By practicing ""Wait to be called on,"" Lily learns the importance of patience, active listening, and respectful communication. She continues to apply this skill in other areas of her life, knowing that it contributes to a positive and harmonious environment.",,,Caitlyn Wang,,Reviewing
wait until after school to watch TV/play games,,Executive Functioning Skills,,,"Steps:
1. When you come home from school, put your backpack away and take a few minutes to relax and unwind. Maybe you can have a healthy snack or chat with your family about your day.

2. Once you've had a chance to recharge, it's time to tackle your homework. Find a quiet and comfortable place to work, like your desk or a table. Make sure you have all the materials you need, such as textbooks, notebooks, and pencils.

3. Break down your homework into manageable tasks. Start with the assignments that are due the next day or have a closer deadline. Set a timer for a specific amount of time, like 30 minutes, and focus on completing one task during that time. Take short breaks in between tasks to stretch or grab a drink.

4. After you finish your homework, take a moment to review your work and make sure everything is complete and accurate. If you have any questions or need help, don't hesitate to ask a parent, sibling, or teacher for assistance.

5. Finally, once all your homework is done and you're satisfied with your work, you can reward yourself with some TV or game time. Remember to set a reasonable limit for yourself so that you still have time for other important activities like chores, reading, or spending time with friends and family.

Example:
Once Sarah arrived home from school, she put her backpack away in her room and headed to the kitchen. She grabbed an apple and sat at the table, enjoying a few minutes of relaxation and chatting with her mom about her day. Feeling refreshed, Sarah made her way to her room and settled in at her desk.

With her textbooks, notebooks, and pencils in front of her, Sarah started working on her math homework first. She set a timer for 30 minutes and focused on solving the problems. After the timer went off, she took a short break, stretching her legs and grabbing a glass of water.

Next, Sarah moved on to her English assignment, writing a short essay. She set the timer again, determined to finish it within the allotted time. When the timer beeped, she took another break, this time chatting with her little brother about their day at school.

After completing all her homework tasks and reviewing her work, Sarah felt a sense of accomplishment. She knew she had done her best. She went to her parents and asked if it would be okay to watch her favorite TV show for 30 minutes. They agreed, reminding her to stick to her time limit.

With a smile on her face, Sarah settled on the couch, excited to relax and enjoy her well-deserved TV time. She made sure to be mindful of the clock, knowing that she still had other activities planned for the evening.",,,Caitlyn Wang,,Reviewing
wait until recess/lunch to play music,,Executive Functioning Skills,Playing music/video on phone too loud for others,,"Steps:
Step 1: Take out your headphones and turn off the music.
Step 2: Put your headphones neatly in your bag or pocket.
Step 3: Remind yourself that it's important to wait until recess or lunch to play music.
Step 4: Engage in a different activity, such as talking with friends, reading a book, or playing a game.
Step 5: Enjoy your music during recess or lunchtime.

Example:
Emily loved listening to music, especially during the school day. One morning, as she settled into her seat in the classroom, she realized that she had forgotten to turn off her music and put away her headphones. Remembering the importance of waiting until recess or lunch, she quickly followed the steps. She reached into her bag, took out her headphones, and turned off the music. Carefully, she placed her headphones in her bag, making sure they wouldn't get tangled with other items. Reminding herself that she needed to wait, she took a deep breath and focused on the upcoming activities. During class, Emily engaged in lively conversations with her friends during group discussions. She even read an exciting chapter from her favorite book during reading time. Finally, when recess came, Emily happily retrieved her headphones and enjoyed her music, feeling proud of herself for following the instructions and waiting until the appropriate time.",,,Caitlyn Wang,,Reviewing
Wait until they are finished to talk,,"Executive Functioning Skills,Bad Friends,Communications",Interrupting someone who is working,,"Steps:
Step 1: When someone is talking, stop whatever you are doing and give them your full attention. Look at them and listen carefully to what they are saying.

Step 2: Keep your mouth closed and wait until the person has finished speaking before you start talking. This means not interrupting or trying to speak over them.

Step 3: Use non-verbal cues to show that you are waiting, such as nodding your head or making eye contact. This lets the person know that you are interested in what they have to say and that you respect their turn to speak.

Step 4: If you have something to say while the person is talking, write it down on a piece of paper or in a notebook. This way, you won't forget your thoughts, and you can share them when it's your turn to talk.

Step 5: When the person is done speaking, take a deep breath and then respond. Use polite words and speak calmly and respectfully. Remember to take turns in a conversation, allowing others to speak without interruption.

Example:
Sarah was sitting in her classroom during a group discussion. As her classmate, Alex, started sharing his ideas, Sarah stopped doodling in her notebook and turned her full attention towards him. She listened carefully, nodding her head to show that she was engaged in what he was saying. Even though she had a thought that she wanted to share, she resisted the urge to blurt it out and instead quickly wrote it down on a piece of paper. As Alex finished speaking, Sarah took a deep breath and then calmly expressed her opinion, making sure to give him the same respect he had shown her. The conversation flowed smoothly, with each person waiting until the other was finished before speaking, creating a respectful and inclusive environment for everyone involved.",,,Caitlyn Wang,,Reviewing
"walk 10,000 steps a day",Improve my physical fitness,Declining physical health,,,"Steps:
Step 1: Set a Daily Step Goal
Decide on a daily step goal that you want to achieve. A good starting point is 10,000 steps per day, but you can adjust it based on your fitness level and personal preferences.

Step 2: Wear a Pedometer or Use a Step-Counting App
Get a pedometer or download a step-counting app on your smartphone. This will help you track the number of steps you take throughout the day. Make sure to have it with you wherever you go.

Step 3: Be Active Throughout the Day
Find opportunities to be active throughout your day. Take the stairs instead of the elevator, walk or bike to school if possible, and participate in physical activities during recess or after school. Look for ways to move more and sit less.

Step 4: Keep Track of Your Steps
Regularly check your pedometer or step-counting app to monitor your progress. Aim to reach your step goal by the end of the day. If you notice that you're falling short, try to find additional opportunities to be active.

Step 5: Celebrate Your Achievements
Celebrate each time you reach your step goal! This can be as simple as giving yourself a high-five, sharing your accomplishment with a friend or family member, or treating yourself to a small reward. Recognizing your efforts will motivate you to keep going.

Example:
Meet Lily, a sixth-grader who wanted to start walking 10,000 steps a day. She set her goal and decided to track her steps using a step-counting app on her phone. 

One sunny morning, Lily woke up and put on her pedometer app, ready to take on the day. As she walked to the bus stop, she noticed the opportunity to get some extra steps by taking the longer route. She arrived at school and joined her friends during recess for a game of tag, adding more steps to her count.

During class, Lily remembered to stand up and stretch whenever possible, keeping her body active. At lunchtime, she opted to walk around the playground instead of sitting down, chatting with her friends as they walked together.

After school, Lily had soccer practice. She ran, kicked, and dribbled, accumulating even more steps. When she got home, she checked her step count and saw that she was just a few hundred steps away from her goal.

Determined to reach 10,000 steps, Lily decided to walk her dog around the neighborhood. As she strolled along, she enjoyed the fresh air and watched her step count slowly increase. Finally, she reached her goal, and a feeling of accomplishment washed over her.

Lily celebrated her achievement by doing a little happy dance right there on the sidewalk. She couldn't wait to tell her parents and friends about her success. With a big smile on her face, Lily felt motivated to continue her daily walking routine, knowing that each step was contributing to her overall well-being.",,,Caitlyn Wang,,Reviewing
walk away and take a break when I feel upset,,Self-Regulation and Coping,"Hitting others,Breaking others' things,Breaking own things,Making verbal threats,Meltdown,""Talking back, rude tone/words"",Threatening to take away privileges,Take away privileges without warning/clear expectations,Yelling reprimands,Hitting/spanking,Sending to time-out,Talking back/arguing with adult,""Mean remarks about looks, intelligence, potential"",Yanking/excessive physical force,Throwing items,Putting others down,Kicking others,Tantrum",,"Steps:
Step 1: Recognize your emotions - Take a moment to pause and identify how you are feeling. Are you angry, frustrated, overwhelmed, or sad? Understanding your emotions is the first step to managing them.

Step 2: Find a safe space - Look for a quiet and comfortable place where you can take a break. It could be your bedroom, a cozy corner in your house, or even outside in nature. Make sure it's a place where you feel calm and secure.

Step 3: Take deep breaths - Once you're in your safe space, close your eyes and take a deep breath in through your nose, hold it for a few seconds, and then slowly exhale through your mouth. Repeat this a few times to help relax your mind and body.

Step 4: Engage in a calming activity - Choose an activity that helps you relax and shift your focus away from your negative emotions. It could be reading a book, drawing, listening to music, doing a puzzle, or any other hobby you enjoy. Let yourself immerse in the activity and let go of the upsetting thoughts and feelings.

Step 5: Reflect and return - After spending some time calming down, reflect on your emotions and what triggered them. Ask yourself if there are any strategies you can use to cope better in the future. When you feel ready, slowly return to the situation or task that was bothering you, with a clearer and more composed mind.

Example:
Once upon a time, there was a sixth-grader named Emma who was having a tough day. She felt overwhelmed with assignments and stressed about a disagreement she had with a friend. Emma knew she needed to take a break and give herself some space to calm down.

Recognizing her emotions, Emma realized she was feeling both frustrated and sad. She decided to find her safe space, which was her cozy corner in the living room. It had a comfortable bean bag chair, a soft blanket, and her favorite stuffed animal.

Sitting down in her safe space, Emma closed her eyes and took a deep breath in through her nose, feeling her chest expand. She held it for a few seconds, feeling a sense of calm wash over her, and then exhaled slowly through her mouth, releasing the tension within her.

Emma reached for her sketchbook and colored pencils, her favorite calming activity. As she started doodling and letting her imagination flow, she felt the weight of her negative emotions lifting. The vibrant colors and the strokes of her pencil on the paper brought her a sense of peace.

After spending some time drawing, Emma began to reflect on her emotions and what had triggered them. She realized that the disagreement with her friend had made her feel upset, and the overwhelming assignments had added to her stress. She made a mental note to talk to her friend and seek help from her teacher to manage her workload better.

Feeling more composed and with a clearer mind, Emma slowly stood up from her cozy corner. She knew it was time to return to her tasks, but now she felt ready to face them with a renewed sense of determination and a calmer mindset.

And so, Emma walked back into her day, feeling grateful for the break she had taken and the opportunity to better understand and manage her emotions.",,,Caitlyn Wang,,Reviewing
walk for 30 minutes every day,,Parenting Stress,,,"Steps:
Step 1: Choose a time of day that works best for you to go for a walk. It could be before or after school, during a break, or in the evening.

Step 2: Put on comfortable clothes and shoes suitable for walking. You want to make sure you can move easily and comfortably.

Step 3: Find a safe route in your neighborhood or a nearby park where you can walk for 30 minutes. Make sure it's well-lit and free from any potential hazards.

Step 4: Set a timer or use a stopwatch to keep track of the time. Start walking at a moderate pace and continue for 30 minutes. If you need to take breaks, that's okay, but try to keep moving as much as possible.

Step 5: Enjoy your walk! Take in the sights and sounds around you, breathe deeply, and let your mind relax. After 30 minutes, congratulate yourself on completing your daily walk.

Example:
Meet Sarah, a determined and active sixth-grader who is ready to start her daily walk routine. Sarah knows that walking for 30 minutes every day can help her feel more energized and focused in school. She decides to go for her walk after she finishes her homework in the evening.

Sarah chooses her favorite pair of sneakers and puts on her comfortable workout clothes. She knows that wearing the right attire will help her move freely during her walk. She heads out the door, excited for her evening stroll.

Sarah has mapped out a route in her neighborhood that takes her through quiet streets and a nearby park. She knows this is a safe and pleasant area to walk in. As she starts her walk, Sarah sets her phone timer for 30 minutes, ensuring she can keep track of her progress.

She begins walking at a moderate pace, enjoying the fresh air and the beauty of nature around her. Sarah takes in the sights of blooming flowers, chirping birds, and friendly neighbors passing by. She keeps moving, maintaining a steady pace, and occasionally stops to stretch her legs or catch her breath.

As the timer reaches 30 minutes, Sarah feels a sense of accomplishment. She knows she has completed her daily walk goal. With a smile on her face, she heads back home, feeling refreshed and proud of herself for taking care of her well-being.

Remember, just like Sarah, you too can make walking a part of your daily routine. It's a simple yet effective way to take care of your physical and mental health. So put on your walking shoes and start your journey towards a healthier and happier you!",,,Caitlyn Wang,,Reviewing
warn child 5 minutes and 1 minute before time is up,,Parenting Stress,,,"Steps:
Step 1: Set a timer for the desired activity duration. Let's say you have 10 minutes for a task.

Step 2: Five minutes before the time is up, listen for a warning sound from the timer. This could be a beep or a specific ringtone.

Step 3: When you hear the warning sound, take a moment to pause and acknowledge that you have five minutes left. You can say to yourself, ""I have five minutes remaining to finish my task.""

Step 4: Use this time wisely by focusing and working efficiently. Break down your task into smaller parts if needed, so you can make progress within the remaining time.

Step 5: One minute before the time is up, listen for another warning sound from the timer. This will let you know that you have only one minute left.

Example:
Sarah was working on her math homework, and she set her timer for 10 minutes. As she was solving the problems, she heard a familiar beep from her timer. It was the warning sound, indicating that she had five minutes left. Sarah took a deep breath and reminded herself, ""I have five minutes remaining to finish my math homework.""

She realized that she needed to manage her time well to complete the assignment. Sarah quickly prioritized the remaining problems and focused on the ones she knew she could solve faster. With each problem she completed, she felt a sense of accomplishment.

Just when Sarah was about to finish the last problem, her timer beeped again. This time, it was a different sound, indicating that she had only one minute left. Sarah double-checked her work, made sure everything was correct, and wrote her final answer.

As the timer went off, Sarah felt satisfied knowing that she had utilized her time effectively and completed her math homework within the given timeframe. She closed her textbook, feeling proud of her accomplishment.",,,Caitlyn Wang,,Reviewing
Wash my face,,Personal Care and Hygiene,,,"Steps:
Step 1: Wet your face with warm water. 
Step 2: Apply a small amount of facial cleanser to your hands and gently rub it onto your face in circular motions. 
Step 3: Rinse off the cleanser thoroughly with warm water, making sure to remove all traces of soap. 
Step 4: Pat your face dry with a clean towel. 
Step 5: Apply a moisturizer to keep your skin hydrated.

Example:
Meet Emma, a sixth-grader who knows the importance of taking care of her skin. Today, she decides to follow a simple routine to wash her face and keep it clean and healthy. 

Step 1: Emma stands in front of the sink and turns on the warm water. She wets her face, making sure to splash water on both cheeks, her forehead, and chin. The warm water feels refreshing on her skin.

Step 2: Emma squeezes a small amount of facial cleanser onto her palm. She rubs her hands together to create a gentle lather. With her fingertips, she begins to massage the cleanser onto her face, moving her hands in small, circular motions. Emma pays extra attention to her T-zone, where she tends to have more oil and impurities.

Step 3: Emma leans over the sink and splashes her face with warm water once again. She ensures that all the cleanser is rinsed off, gently rubbing her skin to remove any residue. Emma takes her time, making sure every part of her face is thoroughly cleansed.

Step 4: Emma reaches for a clean towel nearby and pats her face dry. She is careful not to rub too hard, as it can irritate her skin. Emma takes a moment to admire her fresh, clean face in the mirror.

Step 5: Emma finishes her routine by applying a small amount of moisturizer to her face. She gently massages it in, making sure to cover her entire face. This step helps keep her skin hydrated and prevents it from drying out.

Emma smiles, feeling proud of herself for taking care of her skin. She knows that by following these simple steps to wash her face, she is promoting a healthy and radiant complexion.",,,Caitlyn Wang,,Reviewing
Wash my hair,,Personal Care and Hygiene,,,"Steps:
Step 1: Wet your hair thoroughly. Stand under the shower or use a cup to pour water over your head until all of your hair is wet.

Step 2: Apply a small amount of shampoo to your hand. Gently rub your hands together to create lather.

Step 3: Use your fingertips to massage the shampoo into your scalp. Make sure to cover all areas of your head and focus on the roots of your hair. Massage for about a minute to thoroughly clean your scalp.

Step 4: Rinse your hair with warm water until all of the shampoo is washed out. Make sure there are no traces of shampoo left in your hair.

Step 5: Apply conditioner to the ends of your hair. Use your fingers or a wide-toothed comb to distribute the conditioner evenly. Leave the conditioner in your hair for a few minutes, then rinse it out with cold water.

Example:
Emma stood under the warm water of the shower, letting it soak her hair. She picked up the bottle of shampoo and squeezed a small amount into her hand. Rubbing her hands together, she created a foamy lather.

With her fingertips, Emma gently massaged the shampoo into her scalp. She made sure to cover every inch of her head, from the front to the back. It felt relaxing as she worked the shampoo into her roots, cleansing her scalp of any dirt or oil.

After a minute of massaging, Emma rinsed her hair with warm water. She made sure to rinse thoroughly, ensuring that no shampoo was left behind. The water cascaded over her head, carrying away the lather and leaving her hair feeling clean and refreshed.

Next, Emma grabbed the bottle of conditioner and applied a small amount to the ends of her hair. Using her fingers, she spread the conditioner evenly, making sure to coat each strand. She also used a wide-toothed comb to ensure that the conditioner reached all the way through her hair.

Emma waited a few minutes, allowing the conditioner to work its magic. Then, she rinsed her hair one last time, this time using cold water. The cold water helped to seal the cuticles of her hair, leaving it smooth and shiny.

With a smile, Emma turned off the shower, feeling proud of herself for successfully washing her hair. She wrapped a towel around her head, ready to style her clean and fresh-smelling locks.",,,Caitlyn Wang,,Reviewing
